Names;Courts
           Woodrough, Joseph William          ;['           D. Neb.          ', '           8th Cir.          ']
           Potter, Henry          ;['           5th Cir.          ', '           D.N.C.          ']
           Buffington, Joseph          ;['           W.D. Pa.          ', '           3rd Cir.          ', '           3rd Cir.          ']
           Hutcheson Jr., Joseph Chappell          ;['           S.D. Tex.          ', '           5th Cir.          ']
           Lynne, Seybourn Harris          ;['           N.D. Ala.          ']
           McManus, Edward Joseph          ;['           N.D. Iowa          ']
           Cranch, William          ;['           D.C. Cir.          ']
           Nealon Jr., William Joseph          ;['           M.D. Pa.          ']
           Young, George C.          ;['           S.D. Fl.          ', '           N.D. Fl.          ', '           M.D. Fl.          ']
           Feinberg, Wilfred          ;['           S.D.N.Y.          ', '           2nd Cir.          ']
           Maris, Albert Branson          ;['           E.D. Pa.          ', '           3rd Cir.          ']
           Hand, Learned          ;['           S.D.N.Y.          ', '           2d Cir.          ']
           Phillips, Orie Leon          ;['           D.N.M.          ', '           10th Cir.          ']
           Bootle, William Augustus          ;['           M.D. Ga.          ']
           Fullam, John P.          ;['           E.D. Pa.          ']
           Browning, James R.          ;['           9th Cir.          ']
           Harvey II, Alexander          ;['           D. Md.          ']
           Real, Manuel          ;['           C.D. Cal.          ']
           Crocker, Myron Donovan          ;['           S.D. Cal.          ', '           E.D. Cal.          ']
           Metzner, Charles Miller          ;['           S.D.N.Y.          ']
           Weinstein, Jack B.          ;['           E.D.N.Y.          ']
           Brown, Wesley E.          ;['           D. Kan.          ']
           Keith, Damon          ;['           E.D. Mich.          ', '           6th Cir.          ']
           Pregerson, Harry          ;['           C.D. Cal.          ', '           9th Cir.          ']
           Curtin, John Thomas          ;['           W.D.N.Y          ']
           Thomas, Daniel Holcombe          ;['           S.D. Ala.          ']
           Edelstein, David Norton          ;['           S.D.N.Y.          ']
           Hall, Willard          ;['           D. Del.          ']
           Swan, Thomas Walter          ;['           2nd Cir.          ']
           Bright, Myron H.          ;['           8th Cir.          ']
           Aldrich, Bailey          ;['           D. Mass.          ', '           1st Cir.          ']
           Hunter, Edwin F.          ;['           W.D. La.          ']
           Heebe, Frederick Jacob Reagan          ;['           E.D. La.          ']
           Knox, John C.          ;['           S.D.N.Y.          ']
           Morsell, James Sewall          ;['           D.C. Cir.          ']
           Campbell, William Joseph          ;['           N.D. Ill.          ']
           Reeves, Albert L.          ;['           W.D. Mo.          ']
           Goodwin, Alfred          ;['           D. Or.          ', '           9th Cir.          ']
           Boyd, Marion Speed          ;['           W.D. Tenn.          ']
           von der Heydt, James          ;['           D. Alaska          ']
           Urbom, Warren Keith          ;['           D. Neb.          ']
           Garth, Leonard I.          ;['           D.N.J.          ', '           3rd Cir.          ']
           Eisele, Garnett Thomas          ;['           E.D. Ark.          ']
           Bourquin, George M.          ;['           D. Mont.          ']
           Nordbye, Gunnar          ;['           D. Minn.          ']
           Harper, Roy Winfield          ;['           W.D. Mo.          ', '           E.D. Mo.          ']
John Paul Stevens;['             J7thCir. SCOTUS          ']
           Stapleton, Walter King          ;['           D. Del.          ', '           3rd Cir.          ']
 Carl Olaf Bue Jr.;['             S.D. Tex.            ']
           Ditter Jr., John William          ;['           E.D. Pa.          ']
           VanArtsdalen, Donald West          ;['           E.D. Pa.          ']
Gerald Bard Tjoflat;['             M. D. Fl. ',' 5th Cir ',' 11th Cir            ']
           Wallace, John Clifford          ;['           S.D. Cal.          ', '           9th Cir.          ']
           Fay, Peter T.          ;['           S.D. Fl.          ', '           5th Cir.          ', '           11th Cir.          ']
           Conti, Samuel          ;['           N.D. Cal.          ']
           King, James Lawrence          ;['           S.D. Fl.          ']
           O'Kelley, William Clark          ;['           N.D. Ga.          ']
           Kraft Jr., Charles William          ;['           E.D. Pa.          ']
           Aldisert, Ruggero J.          ;['           3rd Cir.          ']
           Wellford, Harry W.          ;['           W.D. Tenn.          ', '           6th Cir.          ']
           Forman, Phillip          ;['           D.N.J.          ', '           3rd Cir.          ']
           Chandler Jr., Stephen Sanders          ;['           W.D. Okla.          ']
           McGovern, Walter Thomas          ;['           W.D. Wash.          ']
           Chapman, Robert F.          ;['           D.S.C.          ', '           4th Cir.          ']
           Wright, Caleb Merrill          ;['           D. Del.          ']
           Bryan Jr., Albert Vickers          ;['           E.D. Va.          ']
           Holloway Jr., William Judson          ;['           10th Cir.          ']
           Russell Jr., Dan Monroe          ;['           S.D. Miss.          ']
           Pittman, Thomas Virgil          ;['           M.D. Ala.          ', '           S.D. Ala.          ']
           Cox, Elijah Allen          ;['           N.D. Miss.          ']
           Murray, William Daniel          ;['           D. Mont.          ']
           Bauer, William Joseph          ;['           N.D. Ill.          ', '           7th Cir.          ']
           Campbell, Levin H.          ;['           D. Mass.          ', '           1st Cir.          ']
William Terrell Hodges ;['             M.D.Fl.           ']
           Newman, Jon O.          ;['           D. Conn.          ', '           2nd Cir.          ']
           Maxwell, Robert Earl          ;['           N.D. W.Va.          ']
           Willson, Joseph Putnam          ;['           W.D. Pa.          ']
           Steckler, William Elwood          ;['           S.D. Ind.          ']
           Blatt Jr., Solomon          ;['           D.S.C.          ']
           Enright, William Benner          ;['           S.D. Cal.          ']
           Griesa, Thomas P.          ;['           S.D.N.Y.          ']
           Joiner, Charles Wycliffe          ;['           E.D. Mich.          ']
           Thompson Jr., Gordon          ;['           S.D. Cal.          ']
           Wyzanski Jr., Charles Edward          ;['           D. Mass.          ']
           Bailey, Thomas Jennings          ;['           D.D.C.          ']
           Daugherty, Frederick Alvin          ;['           E.D. Okla.          ', '           N.D. Okla.          ', '           W.D. Okla.          ']
           McGuire, Matthew Francis          ;['           D.D.C.          ']
           Dillin, Samuel Hugh          ;['           S.D. Ind.          ']
           Tauro, Joseph L.          ;['           D. Mass.          ']
           Swygert, Luther Merritt          ;['           N.D. Ind.          ', '           7th Cir.          ']
           Murphy, Thomas Francis          ;['           S.D.N.Y.          ']
           Ware, Ashur          ;['           D. Me.          ']
           Coffin, Frank M.          ;['           1st Cir.          ']
           Bowen, John Clyde          ;['           W.D. Wash.          ']
           Burke, Harold P.          ;['           W.D.N.Y.          ']
           Duffy, Kevin          ;['           S.D.N.Y.          ']
           Hancock, James Hughes          ;['           N.D. Ala.          ']
           Weis Jr., Joseph F.          ;['           W.D. Pa.          ', '           3rd Cir.          ']
           Lumbard, J. Edward          ;['           2d Cir.          ']
           Johnson, Frank Minis          ;['           M.D. Ala.          ', '           5th Cir.          ', '           11th Cir.          ']
           Kirkpatrick, William Huntington          ;['           E.D. Pa.          ']
           Young, Joseph H.          ;['           D. Md.          ']
           Jackson Jr., John Jay          ;['           W.D. Va.          ', '           D. W.Va.          ', '           N.D. W.Va.          ']
           Kennedy, Cornelia Groefsema          ;['           E.D. Mich.          ', '           6th Cir.          ']
           Butzner Jr., John D.          ;['           E.D. Va.          ', '           4th Cir.          ']
Jacob Mishler;['             E.D.N.Y.            ']
           Guin Jr., Junius Foy          ;['           N.D. Ala.          ']
           Hayes, Johnson Jay          ;['           M.D.N.C.          ']
           Eschbach, Jesse E.          ;['           N.D. Ind.          ', '           7th Cir.          ']
           Lively, Pierce          ;['           6th Cir.          ']
Reynaldo Guerra Garza;['             S.D. Tex.    ',' 5th Cir.       ']
           Godbold, John Cooper          ;['           5th Cir.          ', '           11th Cir.          ']
           Bazelon, David L.          ;['           D.C. Cir.          ']
           Cowen, Arnold Wilson          ;['           C.ofC.          ', '           Fed. Cir.          ']
           Harvey, R. James          ;['           E.D. Mich.          ']
           Holmes, Edwin R.          ;['           N.D. Miss.          ', '           S.D. Miss.          ', '           5th Cir.          ']
           Matsch, Richard Paul          ;['           D. Col.          ']
           Ross, Donald Roe          ;['           8th Cir.          ']
           Platt Jr., Thomas Collier          ;['           E.D.N.Y.          ']
           Muecke, Charles Andrew          ;['           D. Ariz.          ']
           Rich, Giles          ;['           C.C.P.A.          ', '           Fed. Cir.          ']
           Marsh Jr., Rabe Ferguson          ;['           W.D. Pa.          ']
           Gordon, Myron L.          ;['           E.D. Wis.          ']
           Hill, James Clinkscales          ;['           N.D. Ga.          ', '           5th Cir.          ', '           11th Cir.          ']
           Stanley Jr., Arthur Jehu          ;['           D. Kan.          ']
           McWilliams Jr., Robert Hugh          ;['           10th Cir.          ']
           Ford, Morgan          ;['           C.C.          ', '           Int. Tr.          ']
           Jones, Paul          ;['           N.D. Ohio          ']
           Booth, Fenton Whitlock          ;['           C.ofC.          ']
           Hoffman, Walter Edward          ;['           E.D. Va.          ']
           Dawkins Sr., Benjamin C.          ;['           W.D. La.          ']
           Engel Jr., Albert J.          ;['           W.D. Mich.          ', '           6th Cir.          ']
Joel Flaum;['             N.D. III. ',' 7th Cir.            ']
           Torruella, Juan R.          ;['           D.P.R.          ', '           1st Cir.          ']
           Alsop, Donald D.          ;['           D. Minn.          ']
           Churchill, James Paul          ;['           E.D. Mich.          ']
           Kaufman, Irving          ;['           S.D.N.Y.          ', '           2nd Cir.          ']
           Christensen, Albert Sherman          ;['           D. Utah          ']
           Reed, Stanley Forman          ;['           SCOTUS          ']
           Biggs Jr., John          ;['           3rd Cir.          ']
           Northrop, Edward Skottowe          ;['           D. Md.          ']
           Owen, Richard          ;['           S.D.N.Y.          ']
           Ross, Erskine Mayo          ;['           S.D. Cal.          ', '           9th Cir.          ', '           9th Cir.          ']
           Tuttle, Elbert          ;['           5th Cir.          ', '           11th Cir.          ']
           Stafford Jr., William Henry          ;['           N.D. Fl.          ']
John Minor Wisdom;['             5th Cir.            ']
           Bohanon, Luther L.          ;['           E.D. Okla.          ', '           N.D. Okla.          ', '           W.D. Okla.          ']
           Kennedy, Anthony          ;['           9th Cir.          ', '           SCOTUS          ']
           Turk, James Clinton          ;['           W.D. Va.          ']
           Ferguson, Warren J.          ;['           C.D. Cal.          ', '           9th Cir.          ']
           Foley, James Thomas          ;['           N.D.N.Y.          ']
           Lasker, Morris E.          ;['           S.D.N.Y.          ']
           Kelleher, Robert J.          ;['           C.D. Cal.          ']
           Feikens, John          ;['           E.D. Mich.          ', '           E.D. Mich.          ']
           Siler Jr., Eugene Edward          ;['           E.D. Ky.          ', '           W.D. Ky.          ', '           6th Cir.          ']
           Justice, William Wayne          ;['           E.D. Tex.          ']
           Amidon, Charles Fremont          ;['           D.N.D.          ']
           Higginbotham, Patrick          ;['           N.D. Tx.          ', '           5th Cir.          ']
           Rogers, Richard Dean          ;['           D. Kans.          ']
Joe Oscar Eaton;['             S.D. Fl.            ']
           Stagg, Tom          ;['           W.D. La.          ']
           Putnam, Richard Johnson          ;['           W.D. La.          ']
           Curran, Edward Matthew          ;['           D.D.C.          ']
           Hannay, Allen Burroughs          ;['           S.D. Tex.          ']
           Stone, Kimbrough          ;['           8th Cir.          ']
           Weick, Paul Charles          ;['           N.D. Ohio          ', '           6th Cir.          ']
           Paine, Elijah          ;['           D. Vt.          ']
           Bondy, William          ;['           S.D.N.Y.          ']
           Haight Jr., Charles S.          ;['           S.D.N.Y.          ']
           Simons, Charles Casper          ;['           E.D. Mich.          ', '           6th Cir.          ']
           Guy Jr., Ralph B.          ;['           E.D. Mich.          ', '           6th Cir.          ']
           Cohill Jr., Maurice Blanchard          ;['           W.D. Pa.          ']
           Nott, Charles C.          ;['           C.ofC.          ']
           Chase, Harrie B.          ;['           2nd Cir.          ']
           Fisher, Joseph Jefferson          ;['           E.D. Tex.          ']
           Brennan Jr., William J.          ;['           SCOTUS          ']
Donald P. Lay;['             8th Cir.            ']
           Muir, Malcolm          ;['           M.D. Pa.          ']
           Douglas, William O.          ;['           SCOTUS          ']
           Meek, Edward Roscoe          ;['           N.D. Tex.          ']
           Davies, Ronald          ;['           D.N.D.          ']
           Schwarzer, William          ;['           N.D. Cal.          ']
           Copenhaver Jr., John Thomas          ;['           S.D.W.Va.          ']
           Barrett, James Emmett          ;['           10th Cir.          ']
           Davis, W. Eugene          ;['           W.D. La.          ', '           5th Cir.          ']
           Grant, Robert A.          ;['           N.D. Ind.          ']
           Fairchild, Thomas E.          ;['           7th Cir.          ']
           Chambers, Richard Harvey          ;['           9th Cir.          ']
           Hoffman Jr., Ogden          ;['           N.D. Cal.          ', '           S.D. Cal.          ', '           D. Cal.          ', '           N.D. Cal.          ']
           Rao, Paul Peter          ;['           C.C.          ', '           Int. Tr.          ']
           Locke, James William          ;['           S.D. Fla.          ']
           Davis, John          ;['           D. Mass.          ']
           Skopil Jr., Otto Richard          ;['           D. Or.          ', '           9th Cir.          ']
           Briggle, Charles Guy          ;['           S.D. Ill.          ']
           Betts, Samuel Rossiter          ;['           S.D.N.Y.          ']
           Turrentine, Howard Boyd          ;['           S.D. Cal.          ']
           Pitman, John          ;['           D.R.I.          ']
           Morgan, Lewis Render          ;['           N.D. Ga.          ', '           5th Cir.          ', '           11th Cir.          ']
           Bryant, William B.          ;['           D.D.C.          ']
           Foreman, James L.          ;['           E.D. Ill.          ', '           S.D. Ill.          ']
           Larson, Earl R.          ;['           D. Minn.          ']
           Duffy, F. Ryan          ;['           E.D. Wis.          ', '           7th Cir.          ']
           Hill, Delmas Carl          ;['           D. Kan.          ', '           10th Cir.          ']
           Gibson, Floyd Robert          ;['           W.D. Mo.          ', '           8th Cir.          ']
           Hand, Augustus Noble          ;['           S.D.N.Y.          ', '           2nd Cir.          ']
           Soper, Morris Ames          ;['           D. Md.          ', '           4th Cir.          ']
           White, Byron          ;['           SCOTUS          ']
           Hoeveler, William          ;['           S.D. Fla.          ']
           Filippine, Edward Louis          ;['           E.D. Mo.          ']
           Murphy, Harold Lloyd          ;['           N.D. Ga.          ']
           Hug Jr., Procter Ralph          ;['           9th Cir.          ']